PageID,Length(ms),TotalFixationLength(ms),FixatoinTimePercentage,FixationNumbers,FilteredFixationNumbers,FixationAvgDuration(ms),MeanTimetoFixation(ms),DiversityofFixations,DiversityofWeightedFixations
4_5,190475,101407,0.5323900774379839,214,214,473.8644859813084,890.0700934579439,331.9792517961433,332.96869966032904
4_6,311766,157591,0.5054784678252279,303,303,520.1023102310231,1028.930693069307,233.64085566343888,231.01781818046285
4_7,379579,182465,0.48070362164397923,345,345,528.8840579710145,1100.2289855072463,231.58421697148592,230.69316210291407
4_8,318648,114616,0.3596947101503854,233,233,491.91416309012874,1367.587982832618,287.0561899499761,287.03655093031574
4_9,111743,46745,0.41832598015088196,100,100,467.45,1117.43,350.861508795251,346.83546285751237
4_10,487301,229578,0.47112154499990766,478,478,480.2887029288703,1019.4581589958159,382.9951947261566,382.7498831210495
5_1,326901,125469,0.38381344810814283,257,257,488.20622568093387,1271.988326848249,603.0969468940336,612.4773330542704
5_2,126125,53468,0.4239286422200198,125,125,427.744,1009.0,492.35100253721765,514.115741394863
5_3,242068,118222,0.48838342944957613,250,250,472.888,968.272,393.48453852678955,393.0626677827808
5_4,110995,48635,0.43817289067075094,115,115,422.9130434782609,965.1739130434783,399.82303357530105,394.8749671656073
5_5,472909,211617,0.4474793247749567,451,451,469.2172949002217,1048.5787139689578,272.87728694999714,272.3313910812936
5_6,95666,44440,0.46453285388748355,88,88,505.0,1087.1136363636363,245.95659642831825,242.9058574351752
5_7,431011,211735,0.4912519634069664,434,434,487.86866359447004,993.1129032258065,348.28589948173254,347.12659804371975
5_8,160670,74123,0.46133690172403063,179,179,414.0949720670391,897.5977653631285,404.8110227452196,405.190760938518
6_1,230279,101872,0.44238510676179765,186,186,547.6989247311828,1238.0591397849462,469.82793665941904,521.5763108880448
6_2,288224,160048,0.5552903297435328,329,329,486.468085106383,876.0607902735562,426.5466294037498,430.3262552589688
6_3,1156720,759758,0.6568210111349333,1277,1277,594.9553641346906,905.8104933437745,224.40518388709205,224.16809464527188
6_4,152613,79311,0.5196870515617935,160,160,495.69375,953.83125,291.1661948246201,291.49550522541557
6_5,1032272,689664,0.6681029806097618,1064,1064,648.1804511278195,970.1804511278195,216.27729464019697,215.86002260684995
6_6,96035,55650,0.5794762326235227,101,101,550.990099009901,950.8415841584158,234.57541211661325,240.65810955266932
6_7,318097,207233,0.6514773795414607,352,352,588.7301136363636,903.6846590909091,217.81957537546955,223.95107912805045
6_8,88914,43074,0.4844456441055402,89,89,483.97752808988764,999.0337078651686,193.94417569221574,198.41220531750537
6_9,900864,567244,0.6296666311452117,906,906,626.0971302428256,994.3311258278146,199.24794994555626,198.9595674634019
6_10,83078,32630,0.3927634271407593,70,70,466.14285714285717,1186.8285714285714,218.4544862397369,218.18226126344453
6_11,771978,468038,0.6062841169048859,731,731,640.2708618331053,1056.0574555403557,243.9761484385916,243.47490692962555
6_12,331239,159053,0.48017594546535886,286,286,556.1293706293707,1158.1783216783217,388.55674088456965,401.22334978771295
