PageID,Length(ms),F_TotalFixationLength(ms),F_FixatoinTimePercentage,FilteredFixationNumbers,F_FixationAvgDuration(ms),F_MeanTimetoFixation(ms),F_DiversityofFixations
3_7,409388,170736,0.41705179438576606,290,588.744827586207,1411.6827586206896,502.07026055875116
3_8,112337,39953,0.3556530795730703,83,481.3614457831325,1353.4578313253012,503.29624361347584
3_9,353505,151023,0.42721602240420925,307,491.9315960912052,1151.4820846905538,517.5920937294865
3_10,311506,133225,0.4276803657072416,242,550.5165289256198,1287.2148760330579,410.1462552732918
4_1,331719,66750,0.20122453040073074,65,1026.923076923077,5103.369230769231,465.9230537423428
4_2,425256,170037,0.39984621028274736,250,680.148,1701.024,272.9135807579694
4_3,201812,84647,0.4194349196281688,160,529.04375,1261.325,286.47605199468114
4_4,595739,238079,0.39963641796155697,396,601.209595959596,1504.391414141414,254.43478163468055
4_5,190475,96681,0.5075784223651398,198,488.2878787878788,961.9949494949495,328.3981862205562
4_6,311766,127539,0.4090856603991455,210,607.3285714285714,1484.6,224.0200733935404
4_7,379579,117841,0.31045184269941173,155,760.2645161290322,2448.8967741935485,245.20429984748253
4_8,318648,82530,0.25900052722753636,132,625.2272727272727,2414.0,282.39540538956527
4_9,111743,32450,0.2903985037094046,54,600.925925925926,2069.314814814815,342.137399199505
4_10,487301,191594,0.39317382890656905,361,530.7313019390582,1349.8642659279778,384.96084349068343
5_1,326901,100203,0.30652399350262005,191,524.6230366492147,1711.523560209424,625.3261418097275
5_2,126125,50746,0.4023468780971259,113,449.07964601769913,1116.1504424778761,485.90923581230754
5_3,242068,92547,0.38231819158253055,165,560.8909090909091,1467.0787878787878,395.95273927946613
5_4,110995,45967,0.41413577188161627,106,433.6509433962264,1047.122641509434,396.18415049008576
5_5,472909,205154,0.43381284771488804,438,468.38812785388126,1079.7009132420092,274.43700019093666
5_6,95666,30518,0.3190057073568457,47,649.3191489361702,2035.4468085106382,218.53204134653
5_7,431011,187076,0.43403996649737475,364,513.945054945055,1184.0961538461538,354.95767631978646
5_8,160670,68360,0.4254683512790191,161,424.59627329192546,997.9503105590062,392.26896753417356
6_1,230279,75485,0.32779801892486937,112,673.9732142857143,2056.0625,463.17174149683495
6_2,288224,134166,0.465492117242145,244,549.860655737705,1181.2459016393443,427.10207588719925
6_3,1156720,575417,0.4974557369112663,736,781.8165760869565,1571.6304347826087,223.81323035159232
6_4,152613,69454,0.45509884479041757,135,514.4740740740741,1130.4666666666667,286.9527351697062
6_5,1032272,498450,0.48286691879659627,534,933.4269662921348,1933.0936329588014,211.3287476864855
6_6,96035,42428,0.44179726141510905,63,673.4603174603175,1524.3650793650793,257.4114498869534
6_7,318097,153520,0.4826200812959569,204,752.5490196078431,1559.299019607843,217.56118536451385
6_8,88914,22930,0.2578896461749556,30,764.3333333333334,2963.8,202.54784840962773
6_9,900864,400658,0.4447485969025291,443,904.4198645598194,2033.5530474040631,190.84311695816865
6_10,83078,25080,0.30188497556513155,42,597.1428571428571,1978.047619047619,246.6065946040335
6_11,771978,306976,0.39764863765547726,311,987.0610932475885,2482.244372990354,227.15153907154172
6_12,331239,125834,0.37988884159172076,182,691.3956043956044,1819.9945054945056,370.06713955430786
