PageID,Length(ms),F_TotalFixationLength(ms),F_FixatoinTimePercentage,FilteredFixationNumbers,F_FixationAvgDuration(ms),F_MeanTimetoFixation(ms),F_DiversityofFixations
4_6,311766,125397,0.402215122880622,206,608.7233009708738,1513.4271844660195,207.28993966720995
4_7,379579,115384,0.3039788818664889,151,764.1324503311258,2513.7682119205297,223.27240992523923
4_8,318648,79560,0.2496798975672215,127,626.4566929133858,2509.0393700787404,249.0155579411423
4_9,111743,30646,0.2742543157065767,51,600.9019607843137,2191.0392156862745,295.8592288531455
4_10,487301,186503,0.38272648732508247,350,532.8657142857143,1392.2885714285715,366.89789757039495
5_1,326901,70491,0.21563409105509007,142,496.4154929577465,2302.1197183098593,494.6966104373885
5_2,126125,41202,0.32667591674925667,94,438.3191489361702,1341.7553191489362,369.62628367642077
5_3,242068,85202,0.3519754779648694,155,549.6903225806452,1561.7290322580645,336.2887687975617
5_4,110995,43363,0.39067525564214606,100,433.63,1109.95,344.07829754277145
5_5,472909,198496,0.41973402916840236,424,468.1509433962264,1115.3514150943397,236.0317588166531
5_6,95666,29911,0.31266071540568224,46,650.2391304347826,2079.695652173913,190.75951099269196
5_7,431011,180238,0.4181749421708495,350,514.9657142857143,1231.46,314.09553822536805
5_8,160670,62103,0.3865251758262277,147,422.46938775510205,1092.9931972789116,331.5072663067101
6_1,230279,48120,0.2089639089973467,79,609.1139240506329,2914.9240506329115,314.8430660868738
6_2,288224,121161,0.4203709614744088,224,540.8973214285714,1286.7142857142858,384.41481402837485
6_3,1156720,552592,0.47772321737326234,705,783.818439716312,1640.7375886524824,188.58236675424374
6_4,152613,64692,0.4238957362741051,128,505.40625,1192.2890625,247.5895315554267
6_5,1032272,481350,0.4663015174295147,514,936.4785992217899,2008.3112840466927,179.00588373714345
6_6,96035,39679,0.4131722809392409,60,661.3166666666667,1600.5833333333333,217.38485441883594
6_7,318097,144792,0.45518190992055885,196,738.734693877551,1622.9438775510205,181.38475290181032
6_8,88914,22464,0.2526486267629395,29,774.6206896551724,3066.0,170.84258552090188
6_9,900864,391438,0.4345139776925263,433,904.013856812933,2080.517321016166,169.90442019010558
6_10,83078,23283,0.2802547004020318,39,597.0,2130.2051282051284,187.25184770122482
6_11,771978,301256,0.3902391000779815,303,994.2442244224422,2547.7821782178216,204.40313908980204
6_12,331239,102459,0.30932046045302636,155,661.0258064516129,2137.025806451613,270.5733812843722
