ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68
710098,0,4385,12643,33782,51788,55110,89422,92502,115784,118421,140947,172590,183754,214645,217593,245004,250599,256525,258614,260968,271575,286927,311370,323213,325007,336163,337909,347445,349899,351650,352981,354120,381559,382860,392906,411738,420682,427876,433699,435682,451604,453129,463181,465498,494924,498268,503868,505592,511935,515356,523208,529756,533612,535285,541549,565033,570051,573469,582816,585044,590012,591471,593448,595618,606398,607975,616897,623748
710103,0,5643,9337,17802,22596,31985,35352,46236,49774,87043,90711,97827,111558,115863,128608,132030,135302,142240,144216,151403,160007,176591,212701,218158,227814,247460,264927,274980,289876,300406,304978,313381,332300,365100,374281,391654,401795,412535,419094,431804,440035,447679,462617,469536,493434,500060,507609,521508,533849,543528,552891,556801,565707,578574,592878,625709,626291,636010,650203,660894,680503,686120,691313,692971,701865,708722,723700,607868
710105,1326,13598,20864,63982,67503,86262,87411,97845,99815,123403,124937,153022,162075,183774,196879,210232,211845,248696,250669,252025,255686,257831,262084,270888,299330,306725,307975,313266,315190,354460,361283,382135,383999,400854,416318,418160,439241,457051,458983,476871,479207,494127,495731,513055,524727,533088,539477,541566,559017,561110,567278,574908,579566,581560,584387,596039,602631,604081,619526,620736,631862,634745,636382,643753,645663,652100,653824,666428
710114,21069,26569,28103,40934,53832,56663,72930,78653,83777,86119,97800,105329,99759,99759,99759,108125,110036,118382,128801,132459,142425,148769,176587,176140,179352,203734,204997,220542,221604,224959,227627,244739,246185,262039,240682,307284,313639,315597,325938,328107,337827,339477,340754,342488,344738,353007,354500,365418,390166,395297,397041,399042,400294,404553,406370,417938,422810,452689,452725,460434,462797,473168,477978,486267,491422,495693,497280,513670
710118,0,9273,12986,18931,22528,31371,33219,39630,42926,78653,81433,93635,96247,114958,117036,127590,143542,145972,155663,167816,193454,199205,204258,219550,232016,233834,254083,257305,271191,273695,291467,312978,317679,322119,348532,353233,378628,381013,387905,390517,415952,417769,442634,471495,507806,511045,517767,521903,531028,537554,544742,551512,557599,559494,565007,589061,593131,597562,619202,623061,637408,639307,642263,644944,648075,664875,668954,682108
710121,4936,10227,36554,61678,66902,93657,96215,113743,116297,142431,143617,159482,162848,200045,221686,222919,230722,232456,249204,250815,257700,262684,269004,282837,283939,301259,325420,334687,347436,353462,401218,404458,408492,453220,459561,461970,499888,515569,530232,558231,560665,607569,615256,656251,680215,682300,705490,711584,733494,755652,759435,801938,832180,836744,859939,862962,872270,880544,920245,941311,952024,953292,964236,969852,975314,977211,980400,987596
710123,2159,6259,19461,42123,44581,72461,74480,82572,84122,114841,116401,140754,147468,184077,190286,202586,230732,247274,250333,287400,293779,312040,314641,337487,354197,358904,393569,398634,444334,447711,460065,471381,475770,486461,492826,512664,518715,520829,530479,533280,558236,560069,573378,575047,598439,608167,635621,645370,664870,668329,674488,682430,687786,691044,695503,709481,714593,717585,726559,728946,735018,737890,740860,742138,743339,747805,748655,750014
710124,0,2587,5645,8841,18809,20985,27752,34869,38747,40202,53558,68453,72419,74929,87268,99284,102844,121948,125799,137166,139739,149242,163097,169926,178282,180798,199102,200458,207628,213012,214156,222249,228804,243696,249121,250134,265749,267023,279114,281309,283040,284635,285401,296553,298114,307709,322459,324807,326211,338596,339980,341587,344617,347485,348304,354813,355954,361633,363076,380424,385232,387504,390050,391532,394769,396193,402599,405615
710125,0,7051,13890,38625,64550,68232,94223,100747,121539,123965,119834,188864,197794,200359,229833,232576,256515,259607,273892,276001,282262,284218,300892,304068,337944,353324,357066,363726,365938,373922,376114,379934,382257,398244,409629,425367,428202,451066,456185,470020,475672,477301,478431,478865,491357,498841,501480,512374,520691,536766,541834,544883,546630,549271,560768,564203,577295,593808,600605,612216,617747,622287,623384,626660,629970,631965,633368,639899
710126,1719,7471,36211,37707,82244,83660,85255,101993,104398,117716,127792,142566,183420,188216,213504,234265,236574,259723,261889,281784,286141,313946,303138,329726,332948,340073,341734,369458,370744,386766,388778,384252,405489,411288,477123,478590,514629,517204,538547,540128,582530,583715,607706,610038,603362,629508,630549,639186,640341,647294,649626,652784,655013,657320,669909,670794,680291,688040,697935,703921,705198,715063,716374,723606,730809,735657,737178,738661
710128,0,5685,9922,32106,33688,51766,53424,58278,63032,65412,84956,86505,117505,174525,170007,188188,193037,226230,233904,243895,281036,305091,306752,317201,345620,346720,349830,357335,359172,378670,380250,400114,407325,465497,468261,471733,526864,528467,582264,583711,590629,592365,627946,629189,556705,558492,686712,698227,700775,719741,751103,753091,794843,796306,809674,810763,849384,871642,880485,915870,917563,942824,944221,960270,992770,995855,1015085,1032575
710129,7260,13318,29704,36989,59002,63351,76674,86730,91360,103455,109677,144515,151016,166143,203005,209489,238017,245650,263535,267501,300671,302575,307857,311801,331280,345189,347966,354682,357585,381422,382643,389106,392442,414430,425540,428598,441366,444367,460382,461809,471232,472705,474131,491400,492423,501824,540416,543362,552903,555210,560470,564064,567287,572455,582992,583969,590386,614835,618062,621833,640471,653759,655433,665053,670573,689403,693165,723169
